i,j,profit,k,budget
4,0,0.000032,0,0.022002
4,1,0.000007,0,0.008574
4,2,0.000000,0,0.001084
4,3,0.000005,0,0.004699
4,4,0.000001,0,0.011057
4,5,0.000002,0,0.011046
4,6,0.000003,0,0.005997
4,7,0.000058,0,0.024810
4,8,0.000004,0,0.014333
4,9,0.000035,0,0.033542
4,10,0.000007,0,0.024391
4,11,0.000003,0,0.025789
4,12,0.000007,0,-0.002624
4,13,0.000003,0,-0.005036
4,14,0.000053,0,-0.017282
4,15,0.000031,0,0.004252
4,16,0.000015,0,0.004693
4,17,0.000018,0,0.012902
4,18,0.000046,0,-0.004744
4,19,0.000007,0,0.006466
4,20,0.000001,0,0.002231
4,21,0.000007,0,0.006790
4,22,0.000003,0,0.027104
4,23,0.000013,0,0.015390
4,24,0.000002,0,0.014170
4,25,0.000001,0,-0.020384
4,26,0.000020,0,0.020877
4,27,0.000004,0,0.016057
4,28,0.000010,0,0.003615
4,29,0.000009,0,0.005257
4,30,0.000006,0,0.005472
4,31,0.000010,0,0.038241
4,32,0.000001,0,0.008484
4,33,0.000001,0,-0.012898
4,34,0.000030,0,0.026084
4,35,0.000002,0,0.003514
4,36,0.000006,0,0.009118
