session_id,default_pay_mode,bind_card_x1,bytepay_ctr_x1,all_ctr_x1,budget_x1,bind_card_x0,bytepay_ctr_x0,all_ctr_x0,budget_x0
202405101320383738a0zb71cy22x3,bp_top,3.5740717E-4,0.08215505,0.080980524,-0.0011745259999999952,1.3673953E-4,0.019261073,0.08143707,0.062175997
20240510131620187102za70yb1c22dx,bp_top,0.002635628,0.22770059,0.7955916,0.56789101,0.0021066666,0.22325519,0.8413271,0.6180719100000001
20240510205932374969a0bz17yc2d3e,bp_top,6.9190376E-4,0.12516335,0.19106084,0.06589749,0.0,0.0,0.0,0.0
20240510084903636354z7ya20xb13w8,bp_top,7.8576803E-4,0.10156983,0.24861345,0.14704362,1.06573105E-4,0.0032234788,0.28409427,0.28087079119999997
20240510234744881772az0b71c2dy3e,bp_top,0.0024155974,0.2829957,0.39201406,0.10901835999999998,4.095435E-4,0.07113707,0.41951802,0.34838095
20240510224249536609a0bz71c2d3e4,bp_top,3.784895E-6,8.752644E-4,0.001359731,4.844666000000001E-4,3.9964496E-7,1.38603655E-5,9.96811E-4,9.829506345E-4
20240510063239904942z7a0by2x13c2,bp_top,5.3685904E-4,0.38739002,0.5818534,0.19446337999999996,1.4483929E-4,0.031600147,0.60618955,0.5745894029999999
20240510160207639689za7y20xb13w8,bp_top,2.632141E-4,0.027801812,0.18592721,0.158125398,6.0230494E-5,0.0016923845,0.24350509,0.2418127055
20240510070615465699a0zb7y2x13cw,bp_top,0.0023017526,0.82180685,0.86521053,0.043403680000000056,1.6587973E-4,0.03324151,0.8482564,0.81501489
2024051021154925144a0zb7y12xc3w,bp_top,2.1708237E-4,0.37573013,0.37339082,-0.0023393099999999833,0.0,0.0,0.0,0.0
20240510234632111262z7a0by21x3cw,bp_top,0.0039337873,0.13174742,0.5258312,0.39408378000000005,0.004077643,0.111851156,0.6176887,0.505837544
20240510221807369020z7ay02x3bw18,bp_top,0.0016964078,0.19965768,0.5320382,0.33238052,3.0577183E-4,0.017320931,0.6356503,0.618329369
20240510120356661875z7y2xa30w8v6,bp_top,0.0039688647,0.6683792,0.92922795,0.2608487500000001,4.6041608E-4,0.0058024228,0.92826915,0.9224667272
20240510135402179761a0b1z7c2dy3e,bp_top,0.0012151301,0.3106628,0.7239564,0.41329360000000004,2.7754903E-4,0.017560035,0.7486876,0.731127565
20240510120339285079az7y0b12cx3w,bp_top,0.026065454,0.76298726,0.8268696,0.06388234000000004,0.011404444,0.28031576,0.80256397,0.52224821
